Model Type,Model,Accuracy,Precision,Recall,F1,AUC,MAE,RMSE,R2,Adjusted R2
Classification,Logistic Regression,0.8044692737430168,0.7931034482758621,0.6666666666666666,0.7244094488188977,0.8437417654808959,,,,
Classification,Decision Tree,0.7653631284916201,0.7547169811320755,0.5797101449275363,0.6557377049180327,0.7971014492753623,,,,
Classification,Random Forest,0.8156424581005587,0.8,0.6956521739130435,0.7441860465116279,0.8287220026350461,,,,
Classification,Tuned Random Forest,0.8156424581005587,0.875,0.6086956521739131,0.717948717948718,0.8431488801054018,,,,
Regression,Linear Regression - Fare,,,,,,20.897717925140867,30.532802561398345,0.39754802380221577,0.36168778712377625
